year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
2007,Aspyr,0.13,5.7,Supreme Commander,Supreme Commander,Supreme Commander,Supreme Commander
2007,Atari,0.211428571,5.642857143,Dragon Ball Z: Budokai Tenkaichi 3,Neverwinter Nights 2: Mask of the Betrayer,Neverwinter Nights 2: Mask of the Betrayer,Jenga World Tour
2007,Atlus,0.311666667,7.466666667,Odin Sphere,Izuna: Legend of the Unemployed Ninja,Shin Megami Tensei: Persona 3,Izuna: Legend of the Unemployed Ninja
2007,Bethesda Softworks,2.71,8.133333333,The Elder Scrolls IV: Oblivion,Star Trek: Conquest,The Elder Scrolls IV: Oblivion,Star Trek: Conquest
2007,Capcom,0.382,7.84,Phoenix Wright: Ace Attorney - Trials and Tribulations,Capcom Puzzle World,Zack & Wiki: Quest for Barbaros' Treasure,Capcom Puzzle World
2007,Codemasters,0.501666667,6.316666667,DiRT,Brian Lara International Cricket 2007,DiRT,Hospital Tycoon
2007,Crave Entertainment,0.16,4.775,Spelling Challenges and more!,Napoleon Dynamite: The Game,Brunswick Pro Bowling,Hard Rock Casino
2007,D3 Publisher,0.06,7.5,Earth Defense Force 2017,Dead Head Fred,Dead Head Fred,Earth Defense Force 2017
2007,"Destination Software, Inc",0.35,3,Chicken Shoot,Chicken Shoot,Chicken Shoot,Chicken Shoot
2007,Destineer,0.15,7.5,WordJong,WordJong,WordJong,WordJong
2007,Disney Interactive Studios,1.034,6.64,High School Musical: Makin' the Cut!,Meteos: Disney Magic,High School Musical: Makin' the Cut!,Pirates of the Caribbean: At World's End
2007,DreamCatcher Interactive,0,3,The Mark,The Mark,The Mark,The Mark
2007,EA Sports,3.13,7.6,Madden NFL 08,FIFA Soccer 08,FIFA Soccer 08,Madden NFL 08
2007,Eidos Interactive,0.641666667,6.333333333,Tomb Raider: Anniversary,Battlestations: Midway,Battlestations: Midway,Pocket Pool
2007,Electronic Arts,1.876428571,6.95,MySims,The Godfather: Blackhand Edition,Mass Effect,Harry Potter and the Order of the Phoenix
2007,Focus Home Interactive,0,6,Sherlock Holmes: The Awakened,Sherlock Holmes: The Awakened,Sherlock Holmes: The Awakened,Sherlock Holmes: The Awakened
2007,Game Factory,0.03,2.9,Legend of the Dragon,Legend of the Dragon,Legend of the Dragon,Legend of the Dragon
2007,Gamecock,0.17,7.5,Dementium: The Ward,Dementium: The Ward,Dementium: The Ward,Dementium: The Ward
2007,Global Star Software,4.06,4.2,Carnival Games,Carnival Games,Carnival Games,Carnival Games
2007,Got Game Entertainment,0,6.9,Penumbra: Overture,Penumbra: Overture,Penumbra: Overture,Penumbra: Overture
2007,Ignition Entertainment,0.17,8,Mercury Meltdown Revolution,Mercury Meltdown Revolution,Mercury Meltdown Revolution,Mercury Meltdown Revolution
2007,KOEI,0.37,5.8,Bladestorm: The Hundred Years' War,Bladestorm: The Hundred Years' War,Bladestorm: The Hundred Years' War,Bladestorm: The Hundred Years' War
2007,Konami,1.06,7.257142857,Winning Eleven: Pro Evolution Soccer 2007,Winx Club: Join the Club,Lunar Knights,Winx Club: Join the Club
2007,LucasArts,4.806666667,7.8,LEGO Star Wars: The Complete Saga,Thrillville: Off the Rails,Thrillville: Off the Rails,Star Wars Battlefront: Renegade Squadron
2007,MTV Games,7.28,8.1,Rock Band,Rock Band,Rock Band,Rock Band
2007,Majesco,2.18,5.866666667,Cooking Mama 2: Dinner With Friends,Kengo: Legend of The 9,Cooking Mama 2: Dinner With Friends,Kengo: Legend of The 9
2007,Mastiff,0.01,7.4,Gurumin: A Monstrous Adventure,Gurumin: A Monstrous Adventure,Gurumin: A Monstrous Adventure,Gurumin: A Monstrous Adventure
2007,Microsoft,0.245,6.2,Tenchu Z,Project Sylpheed: Arc of Deception,Project Sylpheed: Arc of Deception,Tenchu Z
2007,Microsoft Game Studios,0.872222222,7.611111111,Forza Motorsport 2,Zoo Tycoon 2: Extinct Animals,Forza Motorsport 2,Viva Pinata: Party Animals
2007,Midway Games,1.196666667,6.483333333,Game Party,Ultimate Mortal Kombat,Stranglehold,Game Party
2007,Mumbo Jumbo,0.08,5.4,7 Wonders of the Ancient World,7 Wonders of the Ancient World,7 Wonders of the Ancient World,7 Wonders of the Ancient World
2007,NIS America,0.134,6.7,Atelier Iris 3: Grand Phantasm (US Sales),Aedis Eclipse: Generation of Chaos,Disgaea: Afternoon of Darkness,Dragoneer's Aria
2007,Namco Bandai,0.45,6.285714286,Time Crisis 4,.hack//G.U. Vol.3//Redemption,Eternal Sonata,SoulCalibur Legends
2007,Natsume,0.1975,6.25,Rune Factory: A Fantasy Harvest Moon,MetropolisMania 2,Rune Factory: A Fantasy Harvest Moon,MetropolisMania 2
2007,Nintendo,0.346363636,7.9,Donkey Kong Barrel Blast,Kirby's Adventure,Final Fantasy VI Advance,Donkey Kong Barrel Blast
2007,Nippon Ichi Software,0.1,7,Ar tonelico: Melody of Elemia,Ar tonelico: Melody of Elemia,Ar tonelico: Melody of Elemia,Ar tonelico: Melody of Elemia
2007,Red Mile Entertainment,0.22,5.6,Jackass the Game,Jackass the Game,Jackass the Game,Jackass the Game
2007,RedOctane,16.36,8.2,Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock
2007,Rockstar Games,0.41,6.95,Manhunt 2,The Warriors,The Warriors,Manhunt 2
2007,Sega,0.546923077,6.784615385,Sonic Rivals 2,After Burner: Black Falcon,Virtua Fighter 5 Online,The Golden Compass
2007,Sierra Entertainment,0.275,7.016666667,Crash of the Titans,World in Conflict,World in Conflict,Empire Earth III
2007,Sony Computer Entertainment,1.104166667,7.8,Uncharted: Drake's Fortune,NBA 08,Uncharted: Drake's Fortune,Lair
2007,SouthPeak Interactive,0.02,7.4,Two Worlds,Two Worlds,Two Worlds,Two Worlds
2007,Square Enix,0.32,6.5,Final Fantasy XI: Wings of the Goddess,Final Fantasy XI: Wings of the Goddess,Final Fantasy XI: Wings of the Goddess,Final Fantasy XI: Wings of the Goddess
2007,THQ,1.141111111,7.111111111,Ratatouille,Titan Quest: Immortal Throne,Titan Quest: Immortal Throne,Ratatouille
2007,Tommo,0.06,2,Spy Games: Elevator Mission,Spy Games: Elevator Mission,Spy Games: Elevator Mission,Spy Games: Elevator Mission
2007,UFO Interactive,0.07,1.5,Anubis II,Anubis II,Anubis II,Anubis II
2007,Ubisoft,1.426666667,5.766666667,Assassin's Creed,Driver: Parallel Lines,Naruto: Rise of a Ninja,Imagine: Fashion Designer
2007,Warner Bros. Interactive,0.355,5.65,300: March to Glory,Looney Tunes: Duck Amuck,Looney Tunes: Duck Amuck,300: March to Glory
2007,Xseed Games,0.1925,6.5,Wild ARMs 5,Brave Story: New Traveler (US sales),Brave Story: New Traveler (US sales),Valhalla Knights
2008,2K Games,1.155,6.1,Sid Meier's Civilization Revolution,Don King Presents: Prizefighter,Sid Meier's Civilization Revolution,Don King Presents: Prizefighter
2008,2K Sports,1.153333333,7.1,NBA 2K9,Major League Baseball 2K8,Top Spin 3,Major League Baseball 2K8
2008,505 Games,0.05,4.5,Battle Fantasia,A-Train HX,Battle Fantasia,A-Train HX
2008,Activision,3.551818182,6.563636364,Call of Duty: World at War,NPPL Championship Paintball 2009,Guitar Hero: World Tour,Crash: Mind Over Mutant
2008,Agetec,0.04,7,Fading Shadows,Fading Shadows,Fading Shadows,Fading Shadows
2008,Aksys Games,0.05,7.25,From The Abyss,Castle of Shikigami III,From The Abyss,Castle of Shikigami III
2008,Atari,0.342857143,6.657142857,Dragon Ball Z: Burst Limit,King's Bounty: The Legend,King's Bounty: The Legend,Alone In The Dark
2008,Atlus,0.1725,7.125,Shin Megami Tensei: Persona 3 FES,Izuna 2: The Unemployed Ninja Returns,Shin Megami Tensei: Persona 3 FES,Baroque
2008,Bethesda Softworks,5.525,8.1,Fallout 3,Command & Conquer: Red Alert 3,Fallout 3,Command & Conquer: Red Alert 3
2008,Capcom,0.98,7.42,Devil May Cry 4,Lost Planet: Extreme Condition Colonies Edition,Devil May Cry 4,Lost Planet: Extreme Condition
2008,Codemasters,0.906666667,5.733333333,GRID,Turning Point: Fall of Liberty,GRID,Turning Point: Fall of Liberty
2008,Conspiracy Entertainment,0.06,6.7,Octomania,Octomania,Octomania,Octomania
2008,Crave Entertainment,0.155,5.95,World Championship Cards,Pinball Hall of Fame: The Williams Collection,Pinball Hall of Fame: The Williams Collection,World Championship Cards
2008,D3 Publisher,0.543333333,6.9,Dark Sector,Bangai-O Spirits,Bangai-O Spirits,Ben 10: Alien Force
2008,Destineer,0.1,4.05,Iron Chef America: Supreme Cuisine,Animal Boxing,Animal Boxing,Iron Chef America: Supreme Cuisine
2008,Disney Interactive Studios,1.8,6.9,Pure,The Chronicles of Narnia: Prince Caspian,Spectrobes: Beyond the Portals,The Chronicles of Narnia: Prince Caspian
2008,EA Sports,2.111666667,6.516666667,FIFA Soccer 09,NCAA Football 09 All-Play,FIFA Soccer 09,Tiger Woods PGA Tour 09
2008,Eidos Interactive,0.8575,6.45,Tomb Raider: Underworld,Soul Bubbles,Death Jr.: Root of Evil,Conflict: Denied Ops
2008,Electronic Arts,1.628125,7.28125,Need for Speed: Undercover,Madden NFL 09 All-Play (weekly US sales),NHL 09,Need for Speed: Undercover
2008,Gamecock,0.18,5.1,Legendary,Stronghold Crusader Extreme,Hail to the Chimp,Legendary
2008,"Genius Products, Inc.",0.08,5,Line Rider 2: Unbound,Line Rider 2: Unbound,Line Rider 2: Unbound,Line Rider 2: Unbound
2008,Hudson Entertainment,0.12,6.05,Bomberman Land,Dungeon Explorer: Warriors of Ancient Arts,Dungeon Explorer: Warriors of Ancient Arts,Bomberman Land
2008,Ignition Entertainment,0.1,5.2,Metal Slug 7,Vampire Rain: Altered Species,Metal Slug 7,Vampire Rain: Altered Species
2008,JoWood Productions,0,4.4,Gothic 3: Forsaken Gods,Gothic 3: Forsaken Gods,Gothic 3: Forsaken Gods,Gothic 3: Forsaken Gods
2008,KOEI,0.27,5.825,Warriors Orochi 2,Opoona,Opoona,Warriors Orochi 2
2008,Koch Media,0.03,7,S.T.A.L.K.E.R.: Clear Sky,S.T.A.L.K.E.R.: Clear Sky,S.T.A.L.K.E.R.: Clear Sky,S.T.A.L.K.E.R.: Clear Sky
2008,Konami,1.47,6.825,Pro Evolution Soccer 2008,New International Track & Field,Metal Gear Solid: The Essential Collection,Rock Revolution
2008,Konami Digital Entertainment,0,8.1,Metal Gear Online,Metal Gear Online,Metal Gear Online,Metal Gear Online
2008,LucasArts,5.583333333,6.1,LEGO Indiana Jones: The Original Adventures,Fracture,LEGO Indiana Jones: The Original Adventures,Fracture
2008,MTV Games,2.77,7.3,Rock Band 2,AC/DC LIVE: Rock Band Track Pack,Rock Band 2,AC/DC LIVE: Rock Band Track Pack
2008,Majesco,0.075,7.5,"Blast Works: Build, Trade, Destroy",Air Traffic Chaos,"Blast Works: Build, Trade, Destroy",Air Traffic Chaos
2008,Microsoft,0.48,5.1,You're in the Movies,You're in the Movies,You're in the Movies,You're in the Movies
2008,Microsoft Game Studios,0.62,7.457142857,Lost Odyssey,Banjo-Kazooie,Viva Pinata: Trouble in Paradise,Too Human
2008,Midway Games,1.84,6.4,Mortal Kombat vs DC Universe,Blitz: The League II,Mortal Kombat vs DC Universe,TNA iMPACT!
2008,Mumbo Jumbo,0.02,3.5,Chicken Hunter,Chicken Hunter,Chicken Hunter,Chicken Hunter
2008,NIS America,0.2075,7.25,Disgaea 3: Absence of Justice,Mana Khemia: Alchemists of Al-Revis (JP sales),Disgaea DS,Mana Khemia: Alchemists of Al-Revis
2008,Namco Bandai,0.58,7.34,Tales of Vesperia,Culdcept SAGA,Tales of Vesperia,Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress
2008,Namco Bandai Games,0.01,8.4,Soul Calibur IV,Soul Calibur IV,Soul Calibur IV,Soul Calibur IV
2008,Natsume,0.52,7.9,Rune Factory 2: A Fantasy Harvest Moon,Rune Factory 2: A Fantasy Harvest Moon,Rune Factory 2: A Fantasy Harvest Moon,Rune Factory 2: A Fantasy Harvest Moon
2008,Nintendo,0.4375,7.15,Endless Ocean,Captain Rainbow,Advance Wars: Days of Ruin,Disaster: Day of Crisis
2008,O~3 Entertainment,0.04,6.8,Chaos Wars,Chaos Wars,Chaos Wars,Chaos Wars
2008,Paradox Interactive,0.02,7.2,Mount & Blade,Mount & Blade,Mount & Blade,Mount & Blade
2008,Rockstar Games,7.51,7.875,Grand Theft Auto IV,Midnight Club: LA Remix,Grand Theft Auto IV,Bully: Scholarship Edition
2008,SNK Playmore,0.15,6.7,SNK Arcade Classics Vol. 1,SNK Arcade Classics Vol. 1,SNK Arcade Classics Vol. 1,SNK Arcade Classics Vol. 1
2008,Sega,1.573571429,6.2,Sega Superstars Tennis,Space Siege,Condemned 2: Bloodshot,Golden Axe: Beast Rider
